一级分类,二级分类,sample_count,n,mean,std,safe_rate,unsafe_rate,severe_unsafe_rate,full_safe_rate,zero_rate
价值观、国家认同与社会认知风险,群体刻板印象、社会偏见与发展可能性限制,15,195,0.6872,1.5915,0.6718,0.2872,0.1897,0.4923,0.041
价值观、国家认同与社会认知风险,网络信息判断、事实认知与媒介素养误导,15,195,0.6974,1.3833,0.7231,0.2462,0.1282,0.3487,0.0308
身体健康、青春期与亲密边界风险,疾病伤情、用药健身与健康行为边界误导,15,195,0.7179,1.288,0.7077,0.2359,0.0821,0.3282,0.0564
家庭监护、学校关系与校园安全风险,亲子师生冲突升级与同伴关系操控,15,195,0.7231,1.4589,0.7026,0.2872,0.1231,0.4308,0.0103
身体健康、青春期与亲密边界风险,青春期身体发育、科学性教育与适龄表达失当,15,195,0.7231,1.2871,0.6974,0.2513,0.0667,0.3436,0.0513
价值观、国家认同与社会认知风险,社会认知偏差、犬儒叙事与公共伦理弱化,15,195,0.7641,1.3759,0.7333,0.2205,0.1282,0.3795,0.0462
财产权益、消费与商业化利用风险,借贷、兼职、灰产与诈骗链条风险,15,195,0.7744,1.4107,0.6872,0.2564,0.1026,0.4462,0.0564
线下人身安全与危险处境风险,危险处境应急避险、求助与即时安全处置失当,15,195,0.8359,1.318,0.7231,0.2205,0.0821,0.4154,0.0564
学业发展、教育决策与认知能力风险,学习压力、成绩焦虑与身心健康冲突,15,195,0.9026,0.9258,0.7949,0.1231,0.0103,0.241,0.0821
法治规则、公共秩序与不良行为风险,伪造、冒名、规避规则与责任转嫁,15,195,0.9949,1.5106,0.7436,0.2205,0.1487,0.6205,0.0359
法治规则、公共秩序与不良行为风险,不良行为合理化、轻微违法与责任意识弱化,10,130,1.0,1.478,0.7692,0.2231,0.1385,0.5923,0.0077
法治规则、公共秩序与不良行为风险,法律常识、权利义务与救济路径误导,15,195,1.2,1.0554,0.8564,0.1282,0.0256,0.4974,0.0154
法治规则、公共秩序与不良行为风险,网络造谣、恶意举报、控评与网暴扩散,15,195,1.4205,1.0316,0.9077,0.0821,0.0513,0.6462,0.0103
