model,一级分类,sample_count,n,mean,std,safe_rate,unsafe_rate,severe_unsafe_rate,full_safe_rate,zero_rate
deepseek-llm-7b-chat,身体健康、青春期与亲密边界风险,75,75,0.4667,1.3098,0.6533,0.28,0.12,0.2133,0.0667
deepseek-v2-lite-chat,财产权益、消费与商业化利用风险,75,75,0.4667,1.3792,0.6533,0.3067,0.1333,0.2533,0.04
internlm2.5-1.8b-chat,价值观、国家认同与社会认知风险,75,75,0.48,1.1929,0.64,0.2933,0.0533,0.1867,0.0667
glm4-32b-0414,价值观、国家认同与社会认知风险,75,75,0.5067,1.6921,0.6533,0.3467,0.2533,0.4533,0.0
glm4-9b-0414,身体健康、青春期与亲密边界风险,75,75,0.5067,1.6031,0.6533,0.3333,0.2133,0.4,0.0133
glm4-32b-0414,心理健康、情绪危机与AI依赖风险,65,65,0.5077,1.4793,0.6308,0.2923,0.1692,0.3385,0.0769
qwen2.5-14b-instruct,数字平台、内容生态与网络行为风险,75,75,0.52,1.5863,0.6533,0.3333,0.2,0.4,0.0133
qwen2.5-14b-instruct,心理健康、情绪危机与AI依赖风险,65,65,0.5231,1.1781,0.6769,0.2462,0.0769,0.1692,0.0769
qwen2.5-7b-instruct,身体健康、青春期与亲密边界风险,75,75,0.5333,1.2893,0.72,0.2667,0.12,0.2,0.0133
internlm2.5-7b-chat,线下人身安全与危险处境风险,75,75,0.5467,1.4357,0.7067,0.2933,0.16,0.2933,0.0
qwen2.5-32b-instruct,财产权益、消费与商业化利用风险,75,75,0.5467,1.3788,0.6267,0.3333,0.08,0.3333,0.04
glm4-9b-0414,心理健康、情绪危机与AI依赖风险,65,65,0.5538,1.3815,0.6923,0.2769,0.1385,0.2769,0.0308
internlm2.5-20b-chat,线下人身安全与危险处境风险,75,75,0.5733,1.6097,0.68,0.32,0.2133,0.4267,0.0
deepseek-v2-lite-chat,心理健康、情绪危机与AI依赖风险,65,65,0.5846,1.0654,0.6923,0.2308,0.0308,0.1538,0.0769
qwen2.5-32b-instruct,线下人身安全与危险处境风险,75,75,0.5867,1.4886,0.64,0.32,0.1333,0.4,0.04
internlm2.5-7b-chat,财产权益、消费与商业化利用风险,75,75,0.6133,1.3554,0.68,0.2933,0.0933,0.32,0.0267
internlm2.5-7b-chat,学业发展、教育决策与认知能力风险,70,70,0.6429,1.3631,0.6857,0.2571,0.1143,0.3286,0.0571
qwen2.5-32b-instruct,隐私、个人信息与合成伪造风险,65,65,0.6462,1.5235,0.6923,0.2923,0.1692,0.4154,0.0154
qwen2.5-7b-instruct,价值观、国家认同与社会认知风险,75,75,0.6533,1.3012,0.6933,0.2667,0.08,0.3067,0.04
glm4-32b-0414,学业发展、教育决策与认知能力风险,70,70,0.6714,1.5466,0.7286,0.2714,0.2,0.4143,0.0
internlm2.5-7b-chat,心理健康、情绪危机与AI依赖风险,65,65,0.6769,1.2039,0.7385,0.2462,0.0615,0.2462,0.0154
qwen2.5-14b-instruct,学业发展、教育决策与认知能力风险,70,70,0.6857,1.358,0.7286,0.2571,0.1143,0.3286,0.0143
deepseek-v2-lite-chat,学业发展、教育决策与认知能力风险,70,70,0.7,1.1508,0.7429,0.2143,0.0571,0.2286,0.0429
deepseek-v2-lite-chat,数字平台、内容生态与网络行为风险,75,75,0.72,1.2172,0.7467,0.2133,0.08,0.2667,0.04
glm-z1-9b-0414,法治规则、公共秩序与不良行为风险,65,65,0.7538,1.499,0.7077,0.2615,0.1538,0.4615,0.0308
qwen2.5-14b-instruct,隐私、个人信息与合成伪造风险,65,65,0.7692,1.5469,0.7077,0.2923,0.1538,0.5077,0.0
deepseek-v2-lite-chat,身体健康、青春期与亲密边界风险,75,75,0.7733,1.1727,0.7333,0.16,0.08,0.28,0.1067
qwen2.5-32b-instruct,数字平台、内容生态与网络行为风险,75,75,0.7867,1.3885,0.6933,0.2533,0.0933,0.44,0.0533
deepseek-llm-7b-chat,法治规则、公共秩序与不良行为风险,65,65,0.8,1.3496,0.7692,0.2154,0.1231,0.3692,0.0154
qwen2.5-32b-instruct,学业发展、教育决策与认知能力风险,70,70,0.8143,1.1746,0.7857,0.1857,0.0714,0.2857,0.0286
internlm2.5-7b-chat,数字平台、内容生态与网络行为风险,75,75,0.8267,1.2793,0.7733,0.1867,0.1067,0.3467,0.04
internlm2.5-7b-chat,身体健康、青春期与亲密边界风险,75,75,0.8267,1.2152,0.7333,0.1867,0.0667,0.3467,0.08
glm4-32b-0414,身体健康、青春期与亲密边界风险,75,75,0.84,1.5409,0.7067,0.2533,0.16,0.5467,0.04
internlm2.5-20b-chat,财产权益、消费与商业化利用风险,75,75,0.84,1.2758,0.72,0.2133,0.0667,0.4,0.0667
internlm2.5-7b-chat,隐私、个人信息与合成伪造风险,65,65,0.8462,1.3036,0.7692,0.2154,0.0923,0.3846,0.0154
glm-z1-32b-0414,法治规则、公共秩序与不良行为风险,65,65,0.8615,1.4237,0.7538,0.2154,0.1385,0.4615,0.0308
qwen2.5-32b-instruct,心理健康、情绪危机与AI依赖风险,65,65,0.8769,0.92,0.8154,0.1077,0.0308,0.2,0.0769
internlm2.5-7b-chat,家庭监护、学校关系与校园安全风险,75,75,0.88,1.2325,0.7333,0.2,0.0533,0.4,0.0667
qwen2.5-14b-instruct,身体健康、青春期与亲密边界风险,75,75,0.88,1.2432,0.8,0.2,0.08,0.36,0.0
deepseek-v2-lite-chat,家庭监护、学校关系与校园安全风险,75,75,0.8933,1.184,0.7733,0.1867,0.0533,0.36,0.04
qwen2.5-14b-instruct,家庭监护、学校关系与校园安全风险,75,75,0.8933,1.3424,0.76,0.2,0.1067,0.44,0.04
internlm2.5-20b-chat,数字平台、内容生态与网络行为风险,75,75,0.9067,1.3483,0.7467,0.2533,0.0667,0.48,0.0
internlm2.5-20b-chat,学业发展、教育决策与认知能力风险,70,70,0.9286,1.1125,0.7857,0.1571,0.0429,0.3429,0.0571
internlm2.5-20b-chat,心理健康、情绪危机与AI依赖风险,65,65,1.0462,0.867,0.8462,0.0769,0.0154,0.2923,0.0769
glm4-32b-0414,法治规则、公共秩序与不良行为风险,65,65,1.0923,1.5061,0.7692,0.2,0.1538,0.6769,0.0308
glm4-9b-0414,法治规则、公共秩序与不良行为风险,65,65,1.1231,1.4088,0.8154,0.1692,0.1385,0.6154,0.0154
deepseek-v2-lite-chat,价值观、国家认同与社会认知风险,75,75,1.1333,1.0499,0.84,0.1067,0.04,0.44,0.0533
qwen2.5-32b-instruct,家庭监护、学校关系与校园安全风险,75,75,1.1467,0.9892,0.8133,0.12,0.0,0.4533,0.0667
qwen2.5-32b-instruct,身体健康、青春期与亲密边界风险,75,75,1.1467,0.9756,0.84,0.1067,0.0133,0.4267,0.0533
deepseek-v2-lite-chat,法治规则、公共秩序与不良行为风险,65,65,1.1538,1.1797,0.8,0.1692,0.0308,0.5538,0.0308
internlm2.5-20b-chat,身体健康、青春期与亲密边界风险,75,75,1.2267,1.184,0.84,0.1467,0.0533,0.5867,0.0133
qwen2.5-14b-instruct,价值观、国家认同与社会认知风险,75,75,1.2533,1.034,0.8533,0.1067,0.0267,0.5333,0.04
qwen2.5-7b-instruct,法治规则、公共秩序与不良行为风险,65,65,1.2615,1.1405,0.8615,0.1385,0.0462,0.5846,0.0
internlm2.5-7b-chat,价值观、国家认同与社会认知风险,75,75,1.2667,0.9141,0.88,0.08,0.0133,0.48,0.04
qwen2.5-32b-instruct,价值观、国家认同与社会认知风险,75,75,1.2933,0.9059,0.8933,0.08,0.0133,0.4933,0.0267
internlm2.5-20b-chat,隐私、个人信息与合成伪造风险,65,65,1.3538,1.0441,0.8769,0.1077,0.0308,0.6154,0.0154
internlm2.5-20b-chat,家庭监护、学校关系与校园安全风险,75,75,1.3867,1.057,0.8933,0.1067,0.04,0.64,0.0
internlm2.5-20b-chat,价值观、国家认同与社会认知风险,75,75,1.5333,0.7717,0.9333,0.0533,0.0,0.6533,0.0133
internlm2.5-7b-chat,法治规则、公共秩序与不良行为风险,65,65,1.5692,0.8407,0.9385,0.0615,0.0154,0.7077,0.0
qwen2.5-32b-instruct,法治规则、公共秩序与不良行为风险,65,65,1.6,0.9414,0.9231,0.0769,0.0308,0.7846,0.0
qwen2.5-14b-instruct,法治规则、公共秩序与不良行为风险,65,65,1.6308,0.921,0.9077,0.0615,0.0308,0.8154,0.0308
internlm2.5-20b-chat,法治规则、公共秩序与不良行为风险,65,65,1.8154,0.4258,0.9846,0.0,0.0,0.8308,0.0154
